"Account number","Kontonummer"
"sofortueberweisung and other sofort-products","sofortueberweisung und andere sofort-Produkte"
"More","mehr Informationen"
"Error while saving this configuration: ","Fehler beim speichern.: "
"Item was successfully saved","erfolgreich gespeichert."
"Your benefit:","Ihre Vorteile:"
"Certified payment method","<ul><li>Zahlungssystem mit TÜV-geprüftem Datenschutz</li><li>Keine Registrierung notwendig</li><li>Ware/Dienstleistung wird bei Verfügbarkeit SOFORT versendet</li><li>Bitte halten Sie Ihre Online-Banking-Daten (PIN/TAN) bereit</li></ul>"
"Certified payment method, direct debit","<ul><li>Zahlungssystem mit TÜV-geprüftem Datenschutz</li><li>Keine Registrierung notwendig</li><li>Ware/Dienstleistung kann SOFORT versendet werden</li><li>Bitte halten Sie Ihre Online-Banking-PIN bereit</li></ul>"
"Help","Hilfe"
"Learn More","mehr Informationen"
"Sort order","Anzeigereihenfolge"
"New order status","Bestätigter Bestellstatus"
"Enabled","Modul aktiviert"
"Title","Bezeichnung"
"Payment from applicable countries","Länder einschränken"
"Payment from Specific countries","Länder einschränken"
"Money received.","Zahlungseingang." 
"Customer returned payment","Zu dieser Transaktion liegt eine Rücklastschrift vor.  "
"Please pay to the following account","Bitte benutzen Sie folgende Überweisungdaten"
"Reason","Verwendungszweck"
"Reason 2","Verwendungszweck 2"
"Please confirm our privacy policy.","Bitte die Datenschutzhinweise akzeptieren."
"The invoice has been canceled.","Die Rechnung wurde storniert. Gutschrift erstellt."
"Configuration key","Konfigurationsschlüssel"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","Die Rechnung wurde storniert %s"
"Successfully canceled invoice. Credit memo created: %s","Die Rechnung wurde storniert. Gutschrift erstellt. %s"
"Banner or text","Banner oder Text bei der Auswahl der Zahlungsoptionen"
"All products deactivated due to errors, initiation aborted.", ""
"Must not be empty.", "Die Daten sind unvollständig oder fehlerhaft. Bitte korrigieren Sie diese oder kontaktieren Sie den Shopbetreiber."
"Not in list of valid values.", "Nicht im Bereich gültiger Werte."
"Must be a positive number.", "Wert muss positiv sein."
"Unsupported currency.", "Es werden im Moment nur Bestellungen in Euro unterstützt. Bitte korrigieren Sie dies und versuchen es dann erneut."
"Amount is out of range.", "Der Gesamtbetrag ist zu groß oder zu klein. Bitte korrigieren Sie dies oder kontaktieren Sie den Shopbetreiber."
"Invalid characters.", "Unbekannte Zeichen."
"Maximum length of 27 characters exceeded.", "Maximale Anzahl an Zeichen überschritten (max. 27)."
"Invalid email address.", "Die Bestellung kann aufgrund fehlerhafter E-Mail-Adresse nicht durchgeführt werden. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Invalid phone number.", "Die Bestellung kann aufgrund fehlerhafter Telefonnummer nicht durchgeführt werden. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Invalid country code.", "Die Länderkennung wird nicht unterstützt, bitte wenden Sie sich an Ihren Shopbetreiber."
"Unsupported country code.", "Die angegebene BIC ist nicht gültig."
"Invalid BIC.", "Die Bestellung kann aufgrund fehlerhafter BIC (Bank Identifier Code) nicht durchgeführt werden. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Only German addresses (DE) are supported.", "Die Bestellung kann aufgrund fehlerhafter Länderkennung nicht durchgeführt werden. Die Liefer-/Rechnungsadresse muss in Deutschland liegen. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Product only supports German sender accounts.", "Es werden nur deutsche Konten unterstützt. Bitte korrigieren Sie dies oder wählen Sie eine andere Zahlart."
"Invoice amount exceeds amount limit in factoring contract.", "Der Gesamtbetrag ist zu hoch. Bitte korrigieren Sie dies und versuchen es dann erneut."
"Invoice amount is lower than minimum amount defined in project settings.", "Der Gesamtbetrag ist zu niedrig. Bitte korrigieren Sie dies und versuchen es dann erneut."
"Invalid tax, allowed values are: 7, 19.", "Wert für Mehrwertsteuer fehlerhaft. Gültige Werte: 7,19."
"Validation of given bank account and bank code failed.", "Die Validierung des Bankkontos und der Bankleitzahl ist fehlgeschlagen."
"Maximum length of 255 characters exceeded.", "Die maximale Anzahl von 255 Zeichen wurde überschritten."
"Invalid items found.", "Die Anfrage enthielt ungültige Warenkorbpositionen. Bitte korrigieren Sie dies oder kontaktieren Sie den Shopbetreiber."
"Payment not possible with this service.", "Bitte geben Sie mindestens den Kontoinhaber an und versuchen Sie es dann erneut."
"Transaction with same data already created.", "Eine Transaktion mit den von Ihnen übermittelten Daten existiert bereits."
"This service is currently only accessible by non-commercial customers.", "Kauf auf Rechnung steht momentan nur Privatkunden zur Verfügung."
"Version Number","Versionsnummer"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/de/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/de/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/de/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/de/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/de/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/de/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/de/su/banner_300x100.png"
